# bin,count
2199,15
2200,14
2201,16
2202,19
2203,12
2204,14
2205,16
2206,23
2207,21
2208,20
2209,19
2210,20
2211,15
2212,11
2213,21
2214,19
2215,19
2216,17
2217,12
2218,23
2219,8
2220,14
2221,24
2222,14
2223,20
2224,20
2225,10
2226,11
2227,23
2228,17
2229,14
2230,18
2231,11
2232,16
2233,24
2234,18
2235,13
2236,13
2237,16
2238,21
2239,22
2240,23
2241,19
2242,17
2243,21
2244,16
2245,14
2246,18
2247,16
2248,14
2249,18
2250,15
2251,22
2252,20
2253,23
2254,19
2255,16
2256,25
2257,16
2258,23
2259,20
2260,21
2261,18
2262,17
2263,21
2264,17
2265,18
2266,23
2267,14
2268,16
2269,11
2270,15
2271,15
2272,19
2273,10
2274,21
2275,17
2276,26
2277,25
2278,10
2279,14
2280,13
2281,17
2282,19
2283,24
2284,15
2285,12
2286,15
2287,21
2288,13
2289,15
2290,23
2291,21
2292,11
2293,15
2294,20
2295,23
2296,13
2297,17
2298,12
2299,14
2300,25
2301,11
2302,18
2303,12
2304,20
2305,23
2306,20
2307,21
2308,15
2309,15
2310,21
2311,17
2312,25
2313,14
2314,17
2315,17
2316,12
2317,22
2318,14
2319,21
2320,23
2321,13
2322,20
2323,16
2324,15
2325,19
2326,12
2327,10
2328,21
2329,25
2330,14
2331,14
2332,20
2333,18
2334,16
2335,11
2336,12
2337,15
2338,22
2339,11
2340,21
2341,16
2342,24
2343,17
2344,17
2345,17
2346,16
2347,20
2348,16
2349,15
2350,17
2351,18
2352,23
2353,11
2354,14
2355,16
2356,17
2357,16
2358,18
2359,11
2360,16
2361,17
2362,8
2363,15
2364,14
2365,12
2366,19
2367,16
2368,12
2369,11
2370,12
2371,12
2372,21
2373,10
2374,21
2375,15
2376,15
2377,18
2378,22
2379,15
2380,11
2381,20
2382,11
2383,18
2384,20
2385,17
2386,12
2387,18
2388,15
2389,11
2390,19
2391,8
2392,13
2393,14
2394,15
2395,18
2396,8
2397,18
2398,16
2399,14
2400,17
2401,14
2402,27
2403,10
2404,15
2405,14
2406,11
2407,15
2408,17
2409,14
2410,20
2411,15
2412,11
2413,16
2414,14
2415,12
2416,10
2417,18
2418,13
2419,13
2420,20
2421,18
2422,20
2423,12
2424,20
2425,15
2426,11
2427,20
2428,14
2429,13
2430,13
2431,17
2432,18
2433,19
2434,9
2435,13
2436,16
2437,14
2438,15
2439,12
2440,10
2441,14
2442,15
2443,15
2444,11
2445,12
2446,15
2447,13
2448,15
2449,14
2450,9
2451,16
2452,14
2453,16
2454,19
2455,13
2456,11
2457,14
2458,15
2459,10
2460,21
2461,16
2462,16
2463,21
2464,18
2465,9
2466,14
2467,10
2468,25
2469,15
2470,19
2471,13
2472,13
2473,9
2474,13
2475,17
2476,18
2477,11
2478,16
2479,13
2480,12
2481,9
2482,12
2483,10
2484,21
2485,18
2486,20
2487,17
2488,17
2489,16
2490,23
2491,17
2492,15
2493,22
2494,11
2495,20
2496,14
2497,10
2498,15
2499,16
2500,16
2501,7
2502,13
2503,14
2504,10
2505,17
2506,12
2507,12
2508,17
2509,11
2510,12
2511,12
2512,9
2513,8
2514,20
2515,11
2516,15
2517,13
2518,19
2519,19
2520,15
2521,12
2522,14
2523,16
2524,13
2525,16
2526,17
2527,16
2528,18
2529,13
2530,10
2531,16
2532,10
2533,15
2534,20
2535,17
2536,20
2537,19
2538,13
2539,17
2540,11
2541,19
2542,15
2543,19
2544,12
2545,12
2546,16
2547,17
2548,15
2549,15
2550,16
2551,13
2552,19
2553,6
2554,16
2555,17
2556,13
2557,17
2558,8
2559,13
2560,20
2561,13
2562,13
2563,9
2564,15
2565,8
2566,16
2567,10
2568,14
2569,8
2570,20
2571,17
2572,10
2573,24
2574,14
2575,20
2576,10
2577,14
2578,14
2579,13
2580,10
2581,15
2582,21
2583,17
2584,15
2585,13
2586,15
2587,21
2588,20
2589,11
2590,9
2591,17
2592,9
2593,19
2594,22
2595,22
2596,8
2597,18
2598,13
2599,18
2600,20
2601,13
2602,11
2603,12
2604,9
2605,19
2606,18
2607,16
2608,16
2609,17
2610,13
2611,21
2612,11
2613,14
2614,6
2615,15
2616,7
2617,4
2618,17
2619,10
2620,9
2621,13
2622,9
2623,13
2624,9
2625,9
2626,11
2627,8
2628,10
2629,15
2630,17
2631,13
2632,15
2633,25
2634,12
2635,9
2636,16
2637,10
2638,11
2639,7
2640,12
2641,6
2642,18
2643,16
2644,12
2645,9
2646,14
2647,17
2648,20
2649,10
2650,15
2651,8
2652,17
2653,11
2654,14
2655,15
2656,9
2657,14
2658,14
2659,12
2660,14
2661,17
2662,11
2663,14
2664,6
2665,12
2666,11
2667,11
2668,8
2669,11
2670,21
2671,8
2672,17
2673,9
2674,11
2675,12
2676,16
2677,13
2678,13
2679,9
2680,10
2681,15
2682,16
2683,16
2684,8
2685,8
2686,6
2687,12
2688,6
2689,11
2690,17
2691,17
2692,15
2693,12
2694,12
2695,11
2696,9
2697,15
2698,10
2699,10
2700,15
2701,17
2702,16
2703,9
2704,17
2705,19
2706,14
2707,8
2708,15
2709,12
2710,14
2711,15
2712,11
2713,6
2714,11
2715,15
2716,9
2717,17
2718,13
2719,13
2720,13
2721,8
2722,11
2723,13
2724,10
2725,14
2726,14
2727,7
2728,10
2729,14
2730,14
2731,8
2732,7
2733,12
2734,14
2735,11
2736,18
2737,13
2738,13
2739,18
2740,13
2741,17
2742,12
2743,8
2744,12
2745,6
2746,11
2747,14
2748,8
2749,16
2750,6
2751,6
2752,11
2753,15
2754,8
2755,14
2756,6
2757,9
